dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested,academic_tier_rating,sat_avg_total_score,sat_sum_total_score
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,78,2,374,1122
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,,3,391,1172
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,,3,383,1149
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,92,4,391,1174
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,92,2,402,1207
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,,3,402,1205
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,78,2,540,1621
01M650,CASCADES HIGH SCHOOL,18,417,418,411,92,4,415,1246
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,,,619,1856
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,78,4,394,1182
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,92,,398,1194
02M294,ESSEX STREET ACADEMY,53,394,384,378,78,4,385,1156
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,92,3,370,1111
02M298,PACE HIGH SCHOOL,85,423,438,432,78,2,431,1293
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,92,,423,1269
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,,,350,1051
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,85,,383,1148
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,,4,400,1200
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,,2,396,1188
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,92,,376,1127
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,85,,392,1176
02M376,NYC ISCHOOL,92,473,483,479,78,4,478,1435
02M392,MANHATTAN BUSINESS ACADEMY,,,,,85,,,0
02M393,BUSINESS OF SPORTS SCHOOL,,,,,,2,,0
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,78,2,396,1188
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,,,85,,,0
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,,2,473,1419
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,85,,475,1424
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,92,1,507,1522
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,,3,526,1577
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,92,4,559,1677
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,85,3,522,1565
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,92,1,473,1419
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,92,2,586,1758
